page_id_pag,page_title,gt_region,lat,lon
9424087,Royal_Gallery_of_Illustration,WSM,51.5089,-0.1339
9463676,London_International_School_of_Performing_Arts,NWM,51.52715,-0.0064
9545302,Wych_Street,WSM,51.51305556,-0.11638889
9627235,Pall_Mall_Restaurant,WSM,51.5077,-0.13
9883337,St_Mary_Axe,NA,51.5144,-0.081
9934002,Friary_Court,WSM,51.5044,-0.1374
9934607,Handley_Page_Transport,NA,51.56305556,-0.21305556
10099467,Decima_gallery,TWH,51.538,-0.0233
10225900,Stain_Hill_Reservoirs,SRY,51.4113,-0.3849
10259357,Sans_Souci_Theatre,NA,51.51111111,-0.13027778
10336774,Montagu_Square,NA,51.51805556,-0.15916667
52904269,1861_Tooley_Street_fire,NA,51.506,-0.085
10440903,Hungerford_Hall,WSM,51.5082,-0.1253
10438862,Hungerford_Market,WSM,51.5078,-0.1244
10556977,Marsham_Street,NA,51.49583333,-0.12916667
15022696,Staines_High_Street_railway_station,NA,51.4353,-0.5093
10759850,Tuvalu_House,MRT,51.412,-0.2245
10788766,Pont_Street,NA,51.49702,-0.16019
10876409,Puddle_Dock,NA,51.511,-0.102
11121359,Poplar_DLR_depot,TWH,51.5078,-0.015
11138846,606_Club,NA,51.479,-0.181
11175983,Marylebone_Gardens,WSM,51.5215,-0.15
11327769,Aberconway_House,NA,51.5084,-0.1505
11485703,Abbey_Christian_School,CMD,51.533,-0.178
15137654,Great_Titchfield_Street,NA,51.51971,-0.1412
25466077,"The_Punch_Bowl,_Mayfair",NA,51.509,-0.1494
26516277,Wolf_&_Badger,KEC,51.51438889,-0.19888889
11820761,Exchange_Alley,NA,51.51361111,-0.08722222
52374586,Croxley_Green_Light_Maintenance_Depot,NA,51.6467,-0.3968
11897298,Tom_King's_Coffee_House,WSM,51.51194444,-0.12222222
4603334,Prince's_Club,NA,51.50138889,-0.16333333
12438862,London_Corinthian_Sailing_Club,NA,51.490592,-0.238821
12459072,Carpenter's_Coffee_House,NA,51.51197,-0.1228
12698790,Surrey_Institution,NA,51.50791,-0.10476
39004932,C_Lidgate,KEC,51.50678,-0.207369
12811702,West_London_College,WSM,51.519,-0.1539
20289685,Bow_railway_works,TWH,51.5268,-0.019
12869646,Turf_Club_(gentlemen's_club),NA,51.50594,-0.132795
12866151,South_London_Hospital_for_Women_and_Children,NA,51.45305556,-0.14694444
12929292,New_Cross_Stadium,LND,51.48194444,-0.04888889
42967704,ITH_Pharma,BEN,51.536648,-0.271654
43340467,Parklanefreddie/sandbox,LBH,51.51888889,-0.14916667
13065535,Dumsey_Meadow,SRY,51.3884,-0.4825
20748631,Lauderdale_Mansions_South,NA,51.52722222,-0.1875
